[Year],[Month],[geo],[GeoName],[COICOP],[COICOP_Name],[Value]
2016,7,EU27_2020,EU,CP05,Furnishings & household equipment,99.87
2016,7,EU27_2020,EU,CP07,Transport,99.79
2016,7,EU27_2020,EU,CP10,Education,101.24
2016,7,EU27_2020,EU,CP11,Restaurants & hotels,103
2016,8,EU27_2020,EU,CP00,All-items HICP,100.25
2016,8,EU27_2020,EU,CP01,Food & non-alcoholic beverages,100.48
2016,8,EU27_2020,EU,CP03,Clothing & footwear,91.82
2016,8,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",99.03
2016,8,EU27_2020,EU,CP05,Furnishings & household equipment,100.06
2016,8,EU27_2020,EU,CP07,Transport,99.29
2016,8,EU27_2020,EU,CP10,Education,101.32
2016,8,EU27_2020,EU,CP11,Restaurants & hotels,103.42
2016,9,EU27_2020,EU,CP00,All-items HICP,100.56
2016,9,EU27_2020,EU,CP01,Food & non-alcoholic beverages,100.11
2016,9,EU27_2020,EU,CP03,Clothing & footwear,103.25
2016,9,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",99.28
2016,9,EU27_2020,EU,CP05,Furnishings & household equipment,100.21
2016,9,EU27_2020,EU,CP07,Transport,98.92
2016,9,EU27_2020,EU,CP10,Education,101.71
2016,9,EU27_2020,EU,CP11,Restaurants & hotels,102.5
2016,10,EU27_2020,EU,CP00,All-items HICP,100.82
2016,10,EU27_2020,EU,CP01,Food & non-alcoholic beverages,100.22
2016,10,EU27_2020,EU,CP03,Clothing & footwear,105.66
2016,10,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",99.7
2016,10,EU27_2020,EU,CP05,Furnishings & household equipment,100.4
2016,10,EU27_2020,EU,CP07,Transport,99.54
2016,10,EU27_2020,EU,CP10,Education,101.52
2016,10,EU27_2020,EU,CP11,Restaurants & hotels,102.2
2016,11,EU27_2020,EU,CP00,All-items HICP,100.53
2016,11,EU27_2020,EU,CP01,Food & non-alcoholic beverages,100.62
2016,11,EU27_2020,EU,CP03,Clothing & footwear,105.91
2016,11,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",99.79
2016,11,EU27_2020,EU,CP05,Furnishings & household equipment,100.39
2016,11,EU27_2020,EU,CP07,Transport,99.05
2016,11,EU27_2020,EU,CP10,Education,101.58
2016,11,EU27_2020,EU,CP11,Restaurants & hotels,101.36
2016,12,EU27_2020,EU,CP00,All-items HICP,101.04
2016,12,EU27_2020,EU,CP01,Food & non-alcoholic beverages,101.11
2016,12,EU27_2020,EU,CP03,Clothing & footwear,104.73
2016,12,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",100.21
2016,12,EU27_2020,EU,CP05,Furnishings & household equipment,100.42
2016,12,EU27_2020,EU,CP07,Transport,100.42
2016,12,EU27_2020,EU,CP10,Education,101.6
2016,12,EU27_2020,EU,CP11,Restaurants & hotels,101.67
2017,1,EU27_2020,EU,CP00,All-items HICP,100.35
2017,1,EU27_2020,EU,CP01,Food & non-alcoholic beverages,102.08
2017,1,EU27_2020,EU,CP03,Clothing & footwear,91.44
2017,1,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",100.86
2017,1,EU27_2020,EU,CP05,Furnishings & household equipment,99.86
2017,1,EU27_2020,EU,CP07,Transport,100.88
2017,1,EU27_2020,EU,CP10,Education,101.73
2017,1,EU27_2020,EU,CP11,Restaurants & hotels,101.61
2017,2,EU27_2020,EU,CP00,All-items HICP,100.75
2017,2,EU27_2020,EU,CP01,Food & non-alcoholic beverages,103.01
2017,2,EU27_2020,EU,CP03,Clothing & footwear,90.87
2017,2,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",100.78
2017,2,EU27_2020,EU,CP05,Furnishings & household equipment,99.99
2017,2,EU27_2020,EU,CP07,Transport,101.33
2017,2,EU27_2020,EU,CP10,Education,101.83
2017,2,EU27_2020,EU,CP11,Restaurants & hotels,102.09
2017,3,EU27_2020,EU,CP00,All-items HICP,101.43
2017,3,EU27_2020,EU,CP01,Food & non-alcoholic beverages,102.37
2017,3,EU27_2020,EU,CP03,Clothing & footwear,103.37
2017,3,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",100.71
2017,3,EU27_2020,EU,CP05,Furnishings & household equipment,100.39
2017,3,EU27_2020,EU,CP07,Transport,101.14
2017,3,EU27_2020,EU,CP10,Education,101.85
2017,3,EU27_2020,EU,CP11,Restaurants & hotels,102.5
2017,4,EU27_2020,EU,CP00,All-items HICP,101.97
2017,4,EU27_2020,EU,CP01,Food & non-alcoholic beverages,102.22
2017,4,EU27_2020,EU,CP03,Clothing & footwear,105.77
2017,4,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",100.8
2017,4,EU27_2020,EU,CP05,Furnishings & household equipment,100.47
2017,4,EU27_2020,EU,CP07,Transport,102.16
2017,4,EU27_2020,EU,CP10,Education,101.88
2017,4,EU27_2020,EU,CP11,Restaurants & hotels,103.64
2017,5,EU27_2020,EU,CP00,All-items HICP,101.9
2017,5,EU27_2020,EU,CP01,Food & non-alcoholic beverages,102.57
2017,5,EU27_2020,EU,CP03,Clothing & footwear,105.79
2017,5,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",100.67
2017,5,EU27_2020,EU,CP05,Furnishings & household equipment,100.47
2017,5,EU27_2020,EU,CP07,Transport,101.05
2017,5,EU27_2020,EU,CP10,Education,101.93
2017,5,EU27_2020,EU,CP11,Restaurants & hotels,104.03
2017,6,EU27_2020,EU,CP00,All-items HICP,101.97
2017,6,EU27_2020,EU,CP01,Food & non-alcoholic beverages,102.31
2017,6,EU27_2020,EU,CP03,Clothing & footwear,104.26
2017,6,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",100.65
2017,6,EU27_2020,EU,CP05,Furnishings & household equipment,100.45
2017,6,EU27_2020,EU,CP07,Transport,100.85
2017,6,EU27_2020,EU,CP10,Education,101.93
2017,6,EU27_2020,EU,CP11,Restaurants & hotels,104.64
2017,7,EU27_2020,EU,CP00,All-items HICP,101.61
2017,7,EU27_2020,EU,CP01,Food & non-alcoholic beverages,102.25
2017,7,EU27_2020,EU,CP03,Clothing & footwear,91.25
2017,7,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",100.68
2017,7,EU27_2020,EU,CP05,Furnishings & household equipment,99.95
2017,7,EU27_2020,EU,CP07,Transport,101.33
2017,7,EU27_2020,EU,CP10,Education,101.95
2017,7,EU27_2020,EU,CP11,Restaurants & hotels,105.75
2017,8,EU27_2020,EU,CP00,All-items HICP,101.81
2017,8,EU27_2020,EU,CP01,Food & non-alcoholic beverages,102.14
2017,8,EU27_2020,EU,CP03,Clothing & footwear,92.18
2017,8,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",100.83
2017,8,EU27_2020,EU,CP05,Furnishings & household equipment,100.09
2017,8,EU27_2020,EU,CP07,Transport,101.91
2017,8,EU27_2020,EU,CP10,Education,101.99
2017,8,EU27_2020,EU,CP11,Restaurants & hotels,106.32
2017,9,EU27_2020,EU,CP00,All-items HICP,102.17
2017,9,EU27_2020,EU,CP01,Food & non-alcoholic beverages,102.33
2017,9,EU27_2020,EU,CP03,Clothing & footwear,103.5
2017,9,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",101.06
2017,9,EU27_2020,EU,CP05,Furnishings & household equipment,100.31
2017,9,EU27_2020,EU,CP07,Transport,101.45
2017,9,EU27_2020,EU,CP10,Education,102.55
